ogc_fid,x,y
"1",2.189300,41.383161
"2",2.128930,41.425955
"3",2.189401,41.375055
"4",2.128942,41.425055
"5",2.189412,41.374154
"6",2.128954,41.424154
"7",2.128870,41.430459
"8",2.189356,41.378657
"9",2.128882,41.429558
"10",2.189367,41.377757
"11",2.128894,41.428657
"12",2.189379,41.376856
"13",2.128906,41.427757
"14",2.189390,41.375955
"15",2.189133,41.396671
"16",2.189144,41.395770
"17",2.189155,41.394869
"18",2.189166,41.393969
"19",2.189088,41.400274
"20",2.189099,41.399373
"21",2.189110,41.398472
"22",2.189121,41.397571
"23",2.189222,41.389465
"24",2.189177,41.393068
"25",2.189188,41.392167
"26",2.189200,41.391267
"27",2.189211,41.390366
"28",2.188953,41.411082
"29",2.188965,41.410181
"30",2.188976,41.409280
"31",2.188987,41.408380
"32",2.188909,41.414684
"33",2.188920,41.413784
"34",2.188931,41.412883
"35",2.188942,41.411982
"36",2.189043,41.403876
"37",2.189054,41.402976
"38",2.189065,41.402075
"39",2.189077,41.401174
"40",2.188998,41.407479
"41",2.189009,41.406578
"42",2.189021,41.405678
"43",2.189032,41.404777
"44",2.129008,41.330476
"45",2.188774,41.425492
"46",2.129020,41.329576
"47",2.188785,41.424592
"48",2.188796,41.423691
"49",2.128960,41.334079
"50",2.188808,41.422790
"51",2.188729,41.429095
"52",2.188740,41.428194
"53",2.128996,41.331377
"54",2.188763,41.426393
"55",2.188864,41.418287
"56",2.129116,41.322370
"57",2.188875,41.417386
"58",2.188886,41.416486
"59",2.188897,41.415585
"60",2.188819,41.421890
"61",2.129080,41.325072
"62",2.188830,41.420989
"63",2.129092,41.324172
"64",2.188841,41.420088
"65",2.188852,41.419188
"66",2.128816,41.344887
"67",2.188595,41.439903
"68",2.188606,41.439002
"69",2.188617,41.438102
"70",2.188628,41.437201
"71",2.188550,41.443506
"72",2.188561,41.442605
"73",2.188572,41.441704
"74",2.128804,41.345788
"75",2.188583,41.440804
"76",2.188684,41.432698
"77",2.128924,41.336781
"78",2.188696,41.431797
"79",2.128936,41.335880
"80",2.188707,41.430896
"81",2.128948,41.334980
"82",2.188718,41.429996
"83",2.128864,41.341284
"84",2.188639,41.436300
"85",2.128876,41.340384
"86",2.188651,41.435400
"87",2.128888,41.339483
"88",2.188662,41.434499
"89",2.128900,41.338582
"90",2.188673,41.433598
"91",2.188426,41.453413
"92",2.188437,41.452512
"93",2.188449,41.451611
"94",2.188370,41.457916
"95",2.188381,41.457015
"96",2.188393,41.456115
"97",2.188505,41.447108
"98",2.188516,41.446208
"99",2.188527,41.445307
"100",2.188538,41.444406
"101",2.188460,41.450711
"102",2.188471,41.449810
"103",2.188482,41.448910
"104",2.188494,41.448009
"105",2.128432,41.373708
"106",2.128444,41.372808
"107",2.128456,41.371907
"108",2.128468,41.371006
"109",2.128384,41.377311
"110",2.128396,41.376410
"111",2.128408,41.375510
"112",2.128420,41.374609
"113",2.068005,41.418272
"114",2.188359,41.458817
"115",2.067993,41.419173
"116",2.128239,41.388119
"117",2.128251,41.387218
"118",2.128263,41.386318
"119",2.128275,41.385417
"120",2.128191,41.391721
"121",2.128203,41.390821
"122",2.128215,41.389920
"123",2.128227,41.389019
"124",2.128336,41.380914
"125",2.128348,41.380013
"126",2.128360,41.379112
"127",2.128372,41.378212
"128",2.128288,41.384516
"129",2.128300,41.383616
"130",2.128312,41.382715
"131",2.128324,41.381814
"132",2.128047,41.402529
"133",2.128059,41.401629
"134",2.128071,41.400728
"135",2.128083,41.399827
"136",2.128011,41.405231
"137",2.128023,41.404331
"138",2.128035,41.403430
"139",2.128143,41.395324
"140",2.128155,41.394423
"141",2.128167,41.393523
"142",2.128179,41.392622
"143",2.128095,41.398927
"144",2.128107,41.398026
"145",2.128119,41.397125
"146",2.128131,41.396225
"147",2.127854,41.416940
"148",2.127866,41.416039
"149",2.127818,41.419642
"150",2.127830,41.418741
"151",2.188295,41.367841
"152",2.127842,41.417840
"153",2.127950,41.409735
"154",2.127963,41.408834
"155",2.127975,41.407933
"156",2.127987,41.407033
"157",2.127914,41.412437
"158",2.127926,41.411536
"159",2.127938,41.410635
"160",2.127661,41.431350
"161",2.188149,41.379550
"162",2.127673,41.430450
"163",2.188161,41.378649
"164",2.127685,41.429549
"165",2.188172,41.377748
"166",2.127697,41.428648
"167",2.188183,41.376848
"168",2.188105,41.383152
"169",2.188116,41.382252
"170",2.188127,41.381351
"171",2.127649,41.432251
"172",2.188138,41.380450
"173",2.127758,41.424145
"174",2.188239,41.372344
"175",2.188250,41.371444
"176",2.188261,41.370543
"177",2.127709,41.427748
"178",2.188272,41.369642
"179",2.188194,41.375947
"180",2.188205,41.375046
"181",2.188217,41.374146
"182",2.188228,41.373245
"183",2.187970,41.393960
"184",2.187981,41.393060
"185",2.187992,41.392159
"186",2.188004,41.391258
"187",2.187925,41.397563
"188",2.187936,41.396662
"189",2.187948,41.395762
"190",2.187959,41.394861
"191",2.188082,41.384954
"192",2.188015,41.390358
